[EVENT04]
袁紹軍の兵糧庫は烏巣にあり。	원소군의 군량고는 오소에 있다.
曹操軍に投降した許攸は、重大な情報をもたらした。	조조군에 투항한 허유는 중대한 정보를 가져왔다.
曹操は直ちに命を飛ばす。いざ、烏巣へ！	조조는 곧바로 명을 내린다. 자, 오소로!
曹操の精鋭は夜の森を駆け抜け、敵陣へとなだれ込んだ。	조조의 정예병은 밤의 숲을 내달려 적진으로 쏟아져 들어갔다.
慌てる袁紹軍を蹴散らし、一斉に火を放つ。	허둥대는 원소군을 짓밟고 일제히 불을 지른다.
容赦のない火炎が、精強を誇った軍勢を瞬く間に呑み込んだ。	사정없는 불길이 정예를 자랑하던 군세를 순식간에 집어삼켰다.
自らを照らす炎を、間近で見つめる曹操。	자신을 비추는 불꽃을 가까이서 바라보는 조조.
夜空に浮かぶ赤い影を呆然と眺める袁紹。	밤하늘에 떠오른 붉은 그림자를 망연히 바라보는 원소.
2人の表情は、この戦いの行く末を物語っていた。	두 사람의 표정은 이 싸움의 결말을 말해 주고 있었다.
[EVENT05]
長江の南岸に布陣する軍船。	장강 남쪽 기슭에 진을 친 군선.
その船の上から周瑜は対岸の陣営を見つめていた。	그 배 위에서 주유는 건너편 기슭의 진영을 바라보고 있었다.
火計こそ敵の大軍を破る唯一の策。ただ東南の風を待つのみ。	화공이야말로 적의 대군을 깨뜨릴 유일한 계책. 이제 동남풍을 기다릴 뿐.
……一瞬の静寂の後、風は向きを変え、軍旗を激しくあおった。	……한순간의 정적 뒤, 바람은 방향을 바꿔 군기를 거세게 펄럭였다.
周瑜は采配を振り下ろし、水軍を駆って対岸に襲いかかった。	주유는 지휘봉을 내리치며 수군을 몰아 건너편 기슭을 덮쳤다.
戦鼓が激しく打ち鳴らされ、無数の火矢が宙を舞う。	전고가 요란하게 울리고 무수한 불화살이 하늘을 난다.
船団は炎に包まれ、夕闇を赤く染め上げた。	선단은 불길에 휩싸여 저녁 어스름을 붉게 물들였다.
長江を下らんとした野望は焼き尽くされ、赤壁は伝説となった。	장강을 따라 내려가려던 야망은 모두 불타 버리고, 적벽은 전설이 되었다.
