# 라벨 번역 3
子午谷	자오곡
五丈原	오장원
{V:1FCE}軍団を編成しました	{V:1FCE} 군단을 편성했습니다
わかりました	알겠습니다
目標も方針も変更されていません	목표도 방침도 바뀌지 않았습니다
トライアルストーリーでは実行できません	트라이얼 스토리에서는 실행할 수 없습니다
国号を選んでください	국호를 선택하십시오
仕官の受諾か拒否を決定します	사관을 받아들일지 거절할지 정합니다
修行させる武将を選んでください	수행시킬 무장을 선택하십시오
{V:3DA2}では……	{V:3DA2}에서는……
うぐぐぐぐっ！	으으으윽!
うぐぐっ！	으윽!
うっ！	윽!
……虚しい勝利だ……	……허무한 승리로다……
本当に降伏してもよろしいですか？	정말로 항복하시겠습니까?
{V:01DA}が乱戦の中で討死しました	{V:01DA}, 난전 중에 전사했습니다
{V:01DA}が一騎討ちの末に討死しました	{V:01DA}, 일기토 끝에 전사했습니다
{V:01DA}が狙撃され討死しました	{V:01DA}, 저격당해 전사했습니다
新君主を決定してください	새 군주를 정하십시오
{V:1FC7}軍が滅亡しました	{V:1FC7}군이 멸망했습니다
すべての勢力が滅亡しました	모든 세력이 멸망했습니다
捕虜の処遇を決定します	포로의 처우를 정합니다
登用するかしないか決定します	등용할지 말지 정합니다
特徴：{V:79}	특징: {V:79}
{U:F0BC}ボタンでゲームを始めます	{U:F0BC}버튼을 누르면 게임을 시작합니다
三國志Ⅷのデータがありません	삼국지Ⅷ의 데이터가 없습니다
武将のデータを出力しました	무장 데이터를 내보냈습니다
読み込む武将データがありません	불러올 무장 데이터가 없습니다
連環の計・前編	연환계・전편
連環の計・後編	연환계・후편
三顧の礼・前編	삼고초려・전편
三顧の礼・後編	삼고초려・후편
望蓬莱	망봉래
封禅	봉선
漢中王	한중왕
山陽公	산양공
出師の表	출사표
五虎将軍	오호장군
二喬	이교
孫尚香	손상향
エンディング	엔딩
オープニング	오프닝
初期設定	초기 설정
シナリオオープニング	시나리오 오프닝
春・小勢力	봄・소세력
夏・小勢力	여름・소세력
秋・小勢力	가을・소세력
冬・小勢力	겨울・소세력
春・大勢力	봄・대세력
夏・大勢力	여름・대세력
秋・大勢力	가을・대세력
冬・大勢力	겨울・대세력
交戦・小勢力	교전・소세력
交戦・大勢力	교전・대세력
進軍・小勢力	진군・소세력
進軍・大勢力	진군・대세력
内政	내정
事件	사건
友情	우정
栄転	영전
外交	외교
プレエンディング	프리엔딩
登場に設定しました	등장으로 설정했습니다
非登場に設定しました	비등장으로 설정했습니다
武将のデータを読み込みました	무장 데이터를 불러왔습니다
{V:01DA}が登録されました！	{V:01DA}, 등록되었습니다!
{V:01DA}はすでに登録されています	{V:01DA}, 이미 등록되어 있습니다
インストールを中止しました	설치를 중지했습니다
インストールが完了しました	설치가 끝났습니다
インストールを中断しました	설치를 중단했습니다
アンインストールを中止しました	제거를 중지했습니다
アンインストールが完了しました	제거가 끝났습니다
アンインストールに失敗しました	제거에 실패했습니다
アンインストールを中断しました	제거를 중단했습니다
%sに失敗しました	%s에 실패했습니다
フォーマットしますか？	포맷하시겠습니까?
空き容量が不足しています	빈 용량이 부족합니다
%sを続けますか？	%s를 계속하시겠습니까?
困ったお方じゃ……	난감한 분이시구려……
どうするおつもりなのです	어찌하실 생각이십니까
張飛	장비
司馬徽	사마휘
諸葛亮	제갈량
関羽	관우
曹操	조조
劉備	유비
周瑜	주유
性別を設定してください	성별을 설정하십시오
蜀漢皇帝・劉備の子。	촉한 황제 유비의 아들.
臥龍・諸葛亮の子。	와룡 제갈량의 아들.
鳳雛・{U:F04C}統の子。	봉추 방통의 아들.
美髯公・関羽の子。	미염공 관우의 아들.
