id	kind	width	lines	ja	ko
M00000.0	label	26	1	黄巾の乱と桃園の誓い	황건적의 난과 도원결의
M00001.0	desc	30	12	三国志の序章「黄巾の乱」。劉備、⏎関羽、張飛の３人が死ぬときは同⏎じと誓った「桃園結義」から、ゲ⏎ームは始まる。選択できる勢力は、⏎乱を起こした張角軍と、乱を鎮圧⏎する側の何進軍。張角軍は人材面⏎では難があるが、張角兄弟が強力⏎な兵法を使える上、兵力では何進⏎軍を凌駕する。対する何進軍は、⏎何進自身の能力が低く、兵力も乏⏎しい。劉備三兄弟、曹操、孫堅な⏎どの逸材を有効に活用したい。	삼국지의 서장 「황건적의 난」.⏎유비, 관우, 장비가 같은 날⏎죽기로 맹세한 「도원결의」에서⏎게임이 시작된다. 고를 수 있는⏎세력은 난을 일으킨 장각군과⏎이를 진압하는 하진군. 장각군은⏎인재가 부족하나 장각 형제의⏎병법이 강력하고 병력도⏎하진군을 능가한다. 맞서는⏎하진군은 하진의 능력이 낮고⏎병력도 적다. 유비 삼형제, 조조,⏎손견 같은 인재를 잘 활용해야⏎한다.
M00002.0	label	26	1	曹操の挙兵と反董卓連合	조조의 거병과 반동탁 연합
M00003.0	desc	30	12	朝廷を牛耳る董卓を討つため各地⏎の諸侯が挙兵する「反董卓連合」。⏎ここから曹操、劉備、孫堅、袁紹⏎らが勢力として登場する群雄割拠⏎が始まる。董卓は最強を誇る呂布⏎を従え、兵力も他の追随を許さな⏎い。更に董卓軍の前衛は、難攻不⏎落の要衝・虎牢関である。反董卓⏎連合勢力は、１対１では董卓軍の⏎敵ではない。各勢力がひしめく北⏎よりも空白都市の多い南の方が、⏎難易度が低いといえる。	조정을 쥐고 흔드는 동탁을⏎치려고 각지의 제후가 일어선⏎「반동탁 연합」. 이때부터 조조,⏎유비, 손견, 원소 등이 세력으로⏎등장하는 군웅할거가 시작된다.⏎동탁은 최강의 여포를 거느리고⏎병력도 압도적이다. 게다가 앞을⏎막는 것은 난공불락의 요충지⏎호뢰관이다. 연합 세력은⏎일대일로는 동탁군의 상대가⏎되지 못한다. 세력이 몰린⏎북쪽보다 빈 도시가 많은 남쪽이⏎난이도가 낮다고 할 수 있다.
M00004.0	label	26	1	呂布の{U:F04B}州強奪と小覇王出陣	여포의 연주 강탈과 소패왕
M00005.0	desc	30	12	董卓を討った呂布が曹操から{U:F04B}州⏎を奪って自立した場面。曹操は青⏎州の黄巾賊を統合した直後であり、⏎兵力も武将も充実している。劉備⏎は曹操に攻められた陶謙を救援し、⏎小沛に入っている。董卓に焼き尽⏎くされた洛陽と曹操侵攻後の徐州⏎は荒廃している。北方では袁紹と⏎公孫{U:F040}が対立。南方では劉表を攻⏎撃していた孫堅が戦死し、後継ぎ⏎の孫策が義兄弟・周瑜とともに、⏎江東制覇の戦いを開始する。	동탁을 죽인 여포가 조조의⏎연주를 빼앗아 자립한 상황.⏎조조는 청주의 황건적을 흡수한⏎직후라 병력도 무장도 충실하다.⏎유비는 조조에게 공격받은⏎도겸을 구원해 소패에 들어가⏎있다. 동탁이 불태운 낙양과⏎조조가 침공한 서주는 황폐하다.⏎북쪽에서는 원소와 공손찬이⏎대립. 남쪽에서는 유표를 치던⏎손견이 전사하고, 뒤를 이은⏎손책이 의형제 주유와 함께 강동⏎제패에 나선다.
M00006.0	label	26	1	官渡の戦いと中原の覇者	관도대전과 중원의 패자
M00007.0	desc	30	12	曹操と袁紹が華北の覇権を巡って⏎争う「官渡の戦い」直前。献帝を⏎擁立した曹操は呂布、袁術を倒し、⏎都の許昌をはじめ、肥沃な中原を⏎支配。周囲を敵に囲まれているが⏎人材面では傑出している。袁紹は⏎公孫{U:F040}を倒して河北を掌握。兵力⏎では曹操を上回り、顔良、文醜の⏎双璧も健在である。劉備は曹操の⏎下を離れ、徐州で独立。江東を制⏎覇し「小覇王」と呼ばれる孫策も⏎曹操の背後を狙っている。	조조와 원소가 화북의 패권을⏎다투는 「관도대전」 직전.⏎헌제를 옹립한 조조는 여포,⏎원술을 쓰러뜨리고 도읍 허창 등⏎비옥한 중원을 지배. 사방이⏎적이지만 인재는 걸출하다.⏎원소는 공손찬을 꺾고 하북을⏎장악. 병력은 조조보다 많고⏎안량, 문추라는 쌍벽도 건재하다.⏎유비는 조조를 떠나 서주에서⏎독립. 강동을 제패해⏎「소패왕」이라 불리는 손책도⏎조조의 배후를 노린다.
M00008.0	label	26	1	三顧の礼と赤壁の戦い	삼고초려와 적벽대전
M00009.0	desc	30	13	呉の名将・周瑜が曹操の野望を粉⏎砕した「赤壁の戦い」前年。曹操⏎は官渡で袁紹を破り、袁家勢力は⏎滅亡、袁尚兄弟は公孫康の下に身⏎を寄せている。劉備は劉表を頼り⏎新野に健在。徐庶を軍師に迎え、⏎曹操の南下をしばしば防いだ。天⏎下の大賢・諸葛亮とはまだ巡り会⏎っていない。江東では孫策が急逝⏎し、孫権が後を継ぐ。その幕下に⏎は周瑜、程普ら孫策以前からの臣⏎に加え、魯粛や呂蒙など江東の優⏎秀な人材が集まっている。	오의 명장 주유가 조조의 야망을⏎꺾은 「적벽대전」의 전해.⏎조조가 관도에서 원소를 격파해⏎원씨는 멸망했고, 원상 형제는⏎공손강에게 몸을 의탁했다.⏎유비는 유표에게 의지해 신야에⏎건재. 서서를 군사로 맞아⏎조조의 남하를 여러 번 막았다.⏎대현자 제갈량과는 아직 만나지⏎못했다. 강동은 손책이 급사해⏎손권이 뒤를 이었다. 주유, 정보⏎등 손책 때부터의 신하에 노숙,⏎여몽 같은 인재가 모여 있다.
M00010.0	label	26	1	周瑜の死と馬超の復讐	주유의 죽음과 마초의 복수
M00011.0	desc	30	13	曹操が馬超を退けた「渭水の戦い」⏎直前の状況。孫権は赤壁で曹操軍⏎を撃退し、江陵を奪取した。しか⏎し、大黒柱の周瑜が病死したため、⏎劉備に荊州を譲る。劉備は孫権の⏎妹である孫尚香を娶り、荊州南部⏎を支配。「伏竜」諸葛亮、「鳳雛」⏎{U:F04C}統を加え一大勢力となる。南下⏎を断念した曹操は後顧の憂いだっ⏎た馬騰を謀殺するが、馬超に逆襲⏎され長安を失う。馬超軍は陣容が⏎薄く苦戦は必至だが、長安を治め⏎兵力を増強している。	조조가 마초를 물리친 「위수⏎전투」 직전. 손권은 적벽에서⏎이겨 강릉을 얻었으나 기둥인⏎주유가 병사해 유비에게 형주를⏎넘긴다. 유비는 손권의 누이⏎손상향과 혼인해 형주 남부를⏎지배. 「복룡」 제갈량, 「봉추」⏎방통을 얻어 큰 세력이 된다.⏎남하를 단념한 조조는 후환인⏎마등을 모살했으나 마초의⏎역습에 장안을 잃었다. 마초군은⏎진용이 얇아 고전하겠지만⏎장안에서 병력을 늘리고 있다.
M00012.0	label	26	1	漢中王劉備と関羽の不覚	한중왕 유비와 관우의 실책
