M14449.0	또는 맹획대를 7번 괴멸시킨다
M14451.0	장안, 한중, 천수를 지배한다
M14453.0	강릉, 영안을 지배한다
M14455.0	양양, 강릉, 영안을 지배한다
M14457.0	장안을 지배하고 조비군을 멸한다
M14459.0	하비를 지배하고 여포대가 북해에 도달
M14461.0	업, 남피, 평원을 지배한다
M14463.0	복양, 관도, 업을 지배한다
M14465.0	건업, 수춘을 지배한다
M14467.0	천수, 서평을 지배한다
M14469.0	한중, 천수를 지배한다
M14471.0	장안, 한중, 서성, 천수, 안정을 지배
M14473.0	장안을 지배하고 조조군을 멸한다
M14474.0	적장 {C:25b}관우{C:32b}를 사로잡았습니다
M14475.0	관 장군, 존안을 뵙게 되어⏎더없는 영광입니다
M14476.0	나는 이미 패장이다⏎인사 따윈 필요 없다⏎어서 이 목을 베어라!
M14477.0	그대 같은 영웅을⏎차마 죽일 수는 없네⏎나를 섬겨……
M14478.0	닥쳐라!　나는 유황숙과 함께⏎한조 부흥을 염원한 몸이다⏎너 따위에게 항복할 성싶으냐!
M14479.0	아깝구나……⏎허나, 이렇게 된 이상⏎벨 수밖에 없겠구나
M14480.0	형님…, {C:25b}장비{C:32b}…, 작별이오
M14481.0	{C:25b}조조{C:32b}의 장자 {C:25b}조앙{C:32b} 사망
M14482.0	{C:25b}관우{C:32b}의 원수 {C:25b}미방{C:32b} 사망
M14483.0	{C:25b}관우{C:32b}의 원수 {C:25b}부사인{C:32b} 사망
M14484.0	{C:25b}조비{C:32b}의 아우 {C:25b}조식{C:32b} 사망
M14485.0	주공, 저자는 {C:25b}장비{C:32b}입니다!
M14486.0	{C:25b}손권{C:32b}, 이 {C:25b}장비{C:32b}가 네 목을⏎받으러 간다!
M14487.0	무례하구나!⏎오라버니, 저자와 제가⏎싸우게 해 주세요!
M14488.0	오라버니!⏎저를 저 {C:25b}장비{C:32b}라는 사내와⏎싸우게 해 주세요!
M14489.0	저게 {C:25b}손권{C:32b}의 누이 {C:25b}손상향{C:32b}인가⏎아버님, 저 방해꾼은 제가⏎해치우겠습니다
M14490.0	허허허⏎아쉽게 되었구먼⏎정진해서 다시 오게나
M14491.0	그대의 천운은⏎아직 다하지 않았소⏎다시 일어서시오
M14492.0	음, 음⏎아직 수행이 모자란가 보구먼⏎또 만나세
M14493.0	자만하고 있었던 모양이로군⏎스스로를 돌아보고⏎다시 도전하게나
M14494.0	음, 음⏎부친의 원수, 아직 못 갚았나⏎다시 한번 싸울 수밖에 없구먼
M14495.0	!?⏎내 계략이 발동하지 않는다!⏎어째서냐!?
M14496.0	{C:25b}육손{C:32b}⏎그대의 계략 따위⏎내게는 통하지 않소
M14497.0	큭, {C:25b}제갈량{C:32b}의 책략인가!⏎이대로는 위험하다…⏎먼저 {C:25b}제갈량{C:32b}부터 쳐야겠다…
M14498.0	스테이지 공략에 실패했습니다
M14499.0	{C:25b}도겸{C:32b}군을 멸망시켰습니다
M14500.0	{C:25b}원술{C:32b}군을 멸망시켰습니다
M14501.0	{C:25b}복양{C:32b}을 방어했습니다
M14502.0	{C:25b}여포{C:32b}군을 멸망시켰습니다
M14503.0	{C:25b}여포{C:32b}군을 멸망시켰습니다
M14504.0	{C:25b}완{C:32b}을 점령했습니다
M14505.0	{C:25b}양양{C:32b}을 점령했습니다
M14508.0	{C:25b}양양{C:32b}을 점령했습니다
M14506.0	{C:25b}수춘{C:32b}을 점령했습니다
M14507.0	{C:25b}강릉{C:32b}을 점령했습니다
M14511.0	{C:25b}강릉{C:32b}을 점령했습니다
M14509.0	{C:25b}강하{C:32b}를 점령했습니다
M14510.0	{C:25b}자동{C:32b}을 방어했습니다
M14512.0	{C:25b}건녕{C:32b}을 점령했습니다
M14513.0	{C:25b}천수{C:32b}를 점령했습니다
M14519.0	{C:25b}천수{C:32b}를 점령했습니다
M14514.0	{C:25b}남만{C:32b}을 점령했습니다
M14515.0	{C:25b}장안{C:32b}을 점령했습니다
M14521.0	{C:25b}장안{C:32b}을 점령했습니다
M14516.0	{C:25b}여포{C:32b}대가 {C:25b}북해{C:32b}에 도달했습니다
M14517.0	{C:25b}업{C:32b}과 {C:25b}남피{C:32b}를 점령했습니다
M14518.0	{C:25b}복양{C:32b}과 {C:25b}관도{C:32b}를 점령했습니다
M14520.0	{C:25b}한중{C:32b}을 점령했습니다
M14522.0	좋아!⏎이제 {C:25b}유비{C:32b}의 원군을 막았다!
M14523.0	부, 분하다…⏎관 장군, 면목이 없습니다…
M14524.0	{C:25b}요화{C:32b} 님의 부대가 당했다…⏎이, 이젠 끝장이다…
M14525.0	아버님, 큰일 났습니다⏎병사들이 이탈하고 있습니다!
M14526.0	어쩔 수 없구나⏎허나, 아직 우리의 명운은⏎다하지 않았다
M14527.0	주공, {C:25b}유비{C:32b} 님께서⏎원조금을 보내오셨습니다
M14528.0	그런가, 선친과의 맹약을⏎중히 여기시는 게로군⏎참으로 의리가 두터운 분이다
M14529.0	어디 보자……⏎(뭐야, 고작 이것뿐인가)
M14530.0	이런 것으로 내가 충절을⏎굽힐 줄 아느냐, 무례하구나!⏎돌아가라!
M14531.0	역적 {C:25b}위{C:32b}는 들어라!⏎하늘의 노여움을 받아라!
M14532.0	{C:25b}오{C:32b}의 장병들아⏎내 얼굴을 잊었느냐!
M14533.0	적벽대전에서 승리했습니다
M14534.0	으아아, 복병이다아!
M14535.0	우리를 얕보았구나⏎그리 쉽게 {C:25b}합비{C:32b}를 내줄 줄⏎알았더냐
M14536.0	큭, {C:25b}장료{C:32b}의 책략인가!
M14537.0	뭐야, 저놈⏎늦게 나온 주제에 건방지게!⏎주공, 제게 맡겨 주십시오
M14538.0	{C:25b}조조{C:32b}군과 {C:25b}유비{C:32b}군이 멸망했습니다
M14539.0	{C:25b}조조{C:32b}군과 {C:25b}도겸{C:32b}군의 화친 성립
M14540.0	{C:25b}악환{C:32b}을 사로잡았습니다!
M14541.0	{C:25b}옹개{C:32b}의 꾐에 넘어갔을 것이오⏎이번에는 풀어 줄 테니⏎{C:25b}고정{C:32b} 공과 잘 의논해 보시오
M14542.0	{C:25b}맹획{C:32b}군과 {C:25b}남만{C:32b}군이 심복했습니다
M14543.0	{C:25b}{V:01DA}{C:32b} 사망
M15704.0	{V:01DA} 님,⏎{C:25b}{V:79}{C:32b}의 지도를 맡을⏎무장을 정해 주십시오
M15714.0	{V:02DA}에게⏎{C:25b}{V:79}{C:32b}의 지도를 맡기겠다
M15715.0	{V:02DA}에게⏎{C:25b}{V:79}{C:32b}의 지도를 일임하지요
M15716.0	내가 직접⏎{C:25b}{V:79}{C:32b}의 지도를 맡겠다
M15717.0	내가 직접⏎{C:25b}{V:79}{C:32b}의 지도를 맡도록 하지요
M15718.0	맡겨 주십시오⏎제 힘으로⏎어엿한 무장으로 키우겠습니다
M15719.0	맡겨 주십시오⏎제 힘으로⏎어엿한 무장으로 키우겠습니다
M15720.0	우리 군에 필요한 인재로⏎제대로 키워 보자
M15721.0	지금부터 가르치는 것을⏎단단히 배워 두도록 해요
M15722.0	{V:01DA} 님의 말씀은⏎참으로 이치에 맞아⏎무척 이해하기 쉽습니다
M15722.1	과연 {V:01DA} 님의 가르침⏎하나하나에⏎고개가 끄덕여집니다
M15723.0	그렇게 말해 주니⏎나도 가르치는 보람이⏎있구나
M15723.1	그 말은⏎너를 지도하는 데⏎힘이 되겠구나
M15724.0	그렇게 말해 주니⏎나도 가르치는 보람이⏎있네요
M15724.1	그 말은⏎그대를 지도하는 데⏎힘이 되겠어요
M15725.0	{V:02DA} 님의 가르침은⏎어려워서 저 같은 자는⏎따라갈 수가 없습니다
M15725.1	때때로 {V:02DA} 님께서⏎무슨 말씀을 하시는지⏎알 수 없을 때가 있습니다
M15726.0	차근차근 가르치고 있건만⏎모르겠느냐……
M15726.1	이토록 애쓰고 있건만⏎모른다니……
M15727.0	이렇게 애쓰고 있는데⏎모른다니……
M15727.1	차근차근 가르치고 있는데⏎이해가 안 되나요……
M15728.0	{C:25b}{V:79}{C:32b},⏎자신을 닦는 길에 끝은 없다⏎나를 믿고 정진하거라
M15728.1	{C:25b}{V:79}{C:32b},⏎너는 장래성이 있다⏎포기하지 말고 분발하거라
M15729.0	자신을 단련함으로써⏎더 큰 인물이 될 수 있어요⏎절대 포기하지 마세요
M15729.1	{C:25b}{V:79}{C:32b},⏎자신을 닦는 길에 끝은 없어요⏎나를 믿고 정진하는 거예요
M15730.0	말씀 감사합니다⏎기대에 부응할 수 있도록⏎날마다 힘쓰고자 합니다
M15730.1	말씀이 가슴에 사무쳤습니다⏎이제까지보다 더욱⏎수행에 전념하겠습니다
M15731.0	{C:25b}{V:79}{C:32b},⏎이대로는 아무리 시간이 가도⏎앞으로 나아갈 수 없다
M15731.1	아직 멀었다!⏎너는 열의가 부족하다
M15732.0	{C:25b}{V:79}{C:32b}!⏎몇 번째 같은 말이에요⏎진지하게 수행하세요
M15732.1	아직 멀었어요!⏎좀 더 힘을 쏟으세요
M15733.0	죄송합니다⏎저 나름대로 노력하고 있다고⏎생각합니다만……
M15733.1	열심히 하고 있다고⏎생각합니다만……
M15734.0	그런 말 할 틈이 있으면⏎수행에나 힘써라
M15734.1	변명 따위 듣고 싶지 않다⏎너 같은 녀석은⏎본 적이 없다
M15735.0	변명은 듣고 싶지 않아요⏎그대 같은 사람은⏎본 적이 없어요
M15735.1	그런 말 할 틈이 있으면⏎수행에나 힘쓰세요
M15736.0	네가 이대로 수행한다면⏎나 따위는⏎상대도 안 되겠지
M15736.1	날마다 실력이 늘고 있구나⏎나를 앞지르는 것도⏎시간문제로구나
M15737.0	날마다 실력이 늘고 있어요⏎나를 앞지르는 것도⏎시간문제겠네요
M15737.1	그대가 이대로 수행한다면⏎금세 나 따위는⏎상대도 안 되겠네요
M15738.0	저는 아직 미숙한 몸입니다⏎앞으로도 {V:02DA} 님 밑에서⏎정진하고 싶습니다
M15738.1	당치도 않습니다⏎아직 한참 {V:02DA} 님의⏎발끝에도 미치지 못합니다
M15739.0	{V:02DA} 님,⏎아무리 단련해도⏎불안해서 견딜 수 없습니다
M15739.1	{V:02DA} 님,⏎저는 정말 수행을⏎끝까지 해낼 수 있을까요
M15740.0	조급해할 것 없다⏎눈에 보이지 않아도⏎성장은 하고 있다
M15740.1	자신감을 가지도록 해라⏎수행을 계속하면⏎반드시 몸에 익을 것이다
M15741.0	자신감을 가지세요⏎수행을 계속하면⏎반드시 몸에 익기 마련이에요
M15741.1	조급해할 필요 없어요⏎눈에 보이지 않아도⏎성장은 하고 있으니까요
M15742.0	제가 아무리 단련해도⏎{V:02DA} 님께 못 미칩니다
M15742.1	아무리 단련해도⏎헛수고로만 느껴집니다
M15743.0	{C:25b}{V:79}{C:32b}, 어찌 된 일이냐⏎요즘 들어 네 의욕이⏎몰라보게 달라졌구나
M15744.0	{C:25b}{V:79}{C:32b}, 수행할 때의⏎눈빛이 달라졌네요⏎딴사람 같아요
M15745.0	({V:02DA} 님을 그리는 마음이⏎저를 바꾼 것입니다⏎조금이라도 당신 곁에 가고파)
M15745.1	({V:02DA} 님을 흠모하는⏎이 마음이⏎제 힘입니다)
M15746.0	{C:25b}{V:79}{C:32b}, 무슨 일이냐⏎계속 울적해 보이는데⏎어디 아프기라도 한 거냐
M15747.0	{C:25b}{V:79}{C:32b}, 왜 그래요⏎한숨만 쉬고⏎무슨 일 있었어요?
M15748.0	({V:02DA} 님을 그리는 마음에⏎아무것도 손에 안 잡혀요……)
M15748.1	({V:02DA} 님을⏎사모하고 있다고는⏎차마 입 밖에 낼 수 없습니다)
M15749.0	{C:25b}{V:79}{C:32b},⏎어째서 내가 말한 대로⏎하지 못하느냐
M15749.1	{C:25b}{V:79}{C:32b},⏎이만큼 말해도⏎모르겠느냐
M15750.0	{C:25b}{V:79}{C:32b}, 왜 내가 말한 대로⏎못 하는 거죠⏎불만이 있으면 말하세요
M15750.1	{C:25b}{V:79}{C:32b}⏎이만큼 말해도⏎모르겠어요?
M15751.0	모든 일에 {V:02DA} 님이⏎옳다고는 할 수 없습니다
