# 라벨 번역 (원문<TAB>번역). 같은 원문을 가진 label/msg 단위에 모두 적용된다.
# 시나리오·챌린지 제목
黄巾の乱と桃園の誓い	황건적의 난과 도원결의
曹操の挙兵と反董卓連合	조조의 거병과 반동탁 연합
呂布の{U:F04B}州強奪と小覇王出陣	여포의 연주 강탈과 소패왕
官渡の戦いと中原の覇者	관도대전과 중원의 패자
三顧の礼と赤壁の戦い	삼고초려와 적벽대전
周瑜の死と馬超の復讐	주유의 죽음과 마초의 복수
漢中王劉備と関羽の不覚	한중왕 유비와 관우의 실책
南蛮王孟獲と諸葛亮の南征	남만왕 맹획과 제갈량 남정
第五次北伐と諸葛亮の死	제5차 북벌과 제갈량의 죽음
剣閣攻防と蜀の滅亡	검각 공방과 촉의 멸망
孫堅の中興	손견의 중흥
白馬将軍の威	백마장군의 위세
皇帝呂布	황제 여포
漢の忠臣ここにあり	한의 충신 여기 있다
華北の覇者袁紹	화북의 패자 원소
周瑜の天下二分計	주유의 천하이분지계
曹家分裂	조씨 일가 분열
西蜀動乱	서촉 동란
超・三國志	초・삼국지
英雄集結	영웅 집결
はじめに	들어가며
新野の戦い・内政編	신야 전투・내정편
新野の戦い・軍備編	신야 전투・군비편
新野の戦い・出陣編	신야 전투・출진편
新野の戦い・攻城編	신야 전투・공성편
下{U:F060}攻防戦	하비 공방전
南陽攻防戦	남양 공방전
後継者争い	후계자 다툼
赤壁炎上	불타는 적벽
七縦七擒	칠종칠금
呉平定戦	오 평정전
盟主袁紹	맹주 원소
趙雲参上	조운 등장
魏延の野望	위연의 야망
打倒司馬一族	사마 일족 타도
英雄集結～中原の覇者	영웅 집결~중원의 패자
報讐雪恨戦	설욕전
偽帝討伐戦	위제 토벌전
濮陽防衛戦	복양 방위전
呂布討伐戦	여포 토벌전
張繍討伐戦	장수 토벌전
華北最終決戦	화북 최종 결전
官渡の戦い	관도대전
許昌最終決戦	허창 최종 결전
赤壁の戦い	적벽대전
合肥の戦い	합비 전투
江陵侵攻戦	강릉 침공전
襄陽侵攻戦	양양 침공전
江夏の戦い	강하 전투
曹家報復戦	조씨 보복전
赤壁の戦いⅡ	적벽대전Ⅱ
夷陵の戦い	이릉대전
益州反乱鎮圧戦	익주 반란 진압전
天水の戦い	천수 전투
南蛮平定戦	남만 평정전
長安侵攻戦	장안 침공전
夷陵の戦いⅡ	이릉대전Ⅱ
襄陽最終決戦	양양 최종 결전
漢朝再興戦	한조 재흥전
下{U:F060}脱出戦	하비 탈출전
{U:F06D}争奪戦	업 쟁탈전
官渡報復戦	관도 보복전
建業最終決戦	건업 최종 결전
渭水の戦い	위수 전투
漢中攻略戦	한중 공략전
長安征討戦	장안 정토전
洛陽最終決戦	낙양 최종 결전
# 부대·도시 정보 항목
対象	대상
勢力	세력
兵士	병사
負傷兵	부상병
状態	상태
士気	사기
軍団	군단
大将	대장
現役	현역
捕虜	포로
部隊	부대
工作物	공작물
種類	종류
施設	시설
商人常駐フラグ	상인상주플래그
商人	상인
州	주
中地図Ｘ座標	중지도X좌표
中地図Ｙ座標	중지도Y좌표
有効フラグ	유효플래그
最大獲得育成Ｐ	최대획득육성P
獲得育成Ｐ	획득육성P
都市	도시
合計兵士	합계병사
人口	인구
一般人口	일반인구
兵役人口	병역인구
在野	재야
都督	도독
統率	통솔
知力	지력
戦闘力	전투력
兵科	병과
命令	명령
目標	목표
事後命令	사후명령
民心	민심
収益	수익
最大収益	최대수익
収穫	수확
最大収穫	최대수확
耐久	내구
最大耐久	최대내구
# 병법
奮戦	분전
奮闘	분투
奮迅	분신
突破	돌파
突進	돌진
突撃	돌격
騎射	기사
走射	주사
飛射	비사
斉射	제사
連射	연사
連弩	연노
蒙衝	몽충
楼船	누선
闘艦	투함
井闌	정란
衝車	충차
投石	투석
象兵	상병
造営	조영
石兵	석병
罠破	간파
教唆	선동
混乱	혼란
罠	덫
心攻	심공
幻術	환술
罵声	야유
鼓舞	고무
治療	치료
妖術	요술
矢雨	시우
矢嵐	난사
強襲	강습
強攻	강공
穴罠	함정
火罠	불덫
水罠	물덫
岩罠	돌덫
落石	낙석
射台	사대
# 도시·지형 항목
特性	특성
隣接	인접
地域	지역
守備隊	수비대
攻撃力	공격력
守備力	수비력
金収入	금수입
兵糧収入	병량수입
軍団金	군단금
軍団兵糧	군단병량
色付き地域	색지역
色付き地域２	색지역2
色付き勢力	색세력
色付き軍団	색군단
色付き都督	색도독
色付き大将	색대장
色付き州域	색주역
到着	도착
色付き地域ナシ	색지역없음
色付き地域２ナシ	색지역2없음
増加兵役	증가병역
友好	우호
後漢皇帝	후한황제
前線	전선
特徴	특징
目標２	목표2
交戦１	교전1
交戦２	교전2
兵法	병법
回復	회복
適正武将	적정무장
適正兵士	적정병사
森	숲
岩	암
土	흙
草	풀
土草	흙풀
草森	풀숲
湿地	습지
土湿	흙습
草湿	풀습
浅瀬	여울
水	물
橋	교
水辺	물가
岩草	암풀
岩土	암흙
水弐	물2
水参	물3
後漢	후한
港	항
関	관
陣	진
砦	채
櫓	노
城塞	성채
柵	책
土砂	토사
土塁	토루
工作物番号	공작물번호
ＣＧ番号	CG번호
費用	비용
最小耐久	최소내구
オブジェクトサイズＸ	오브젝트 크기X
オブジェクトサイズＹ	오브젝트 크기Y
攻撃範囲	공격범위
工作必要兵法番号	공작필요병법번호
方向	방향
国号	국호
君主武将番号	군주무장번호
君主顔番号	군주얼굴번호
君主	군주
軍師	군사
信用	신용
信望	신망
官爵	관작
金	금
金収支	금수지
兵糧	병량
兵糧収支	병량수지
連合フラグ	연합플래그
連合盟主フラグ	연합맹주플래그
連合標的フラグ	연합표적플래그
連合	연합
標的	표적
方針	방침
勢力０友好	세력0우호
勢力１友好	세력1우호
勢力２友好	세력2우호
勢力３友好	세력3우호
勢力４友好	세력4우호
勢力５友好	세력5우호
勢力６友好	세력6우호
勢力７友好	세력7우호
勢力８友好	세력8우호
勢力９友好	세력9우호
勢力１０友好	세력10우호
勢力１１友好	세력11우호
勢力１２友好	세력12우호
勢力１３友好	세력13우호
勢力１４友好	세력14우호
勢力１５友好	세력15우호
勢力１６友好	세력16우호
勢力１７友好	세력17우호
勢力１８友好	세력18우호
勢力１９友好	세력19우호
勢力２０友好	세력20우호
勢力２１友好	세력21우호
勢力２２友好	세력22우호
勢力２３友好	세력23우호
勢力２４友好	세력24우호
勢力２５友好	세력25우호
勢力２６友好	세력26우호
勢力２７友好	세력27우호
勢力２８友好	세력28우호
勢力２９友好	세력29우호
勢力３０友好	세력30우호
勢力３１友好	세력31우호
勢力３２友好	세력32우호
勢力３３友好	세력33우호
勢力３４友好	세력34우호
勢力３５友好	세력35우호
勢力３６友好	세력36우호
勢力３７友好	세력37우호
勢力３８友好	세력38우호
勢力３９友好	세력39우호
勢力４０友好	세력40우호
勢力４１友好	세력41우호
勢力４２友好	세력42우호
勢力４３友好	세력43우호
勢力４４友好	세력44우호
勢力４５友好	세력45우호
勢力４６友好	세력46우호
勢力４７友好	세력47우호
勢力４８友好	세력48우호
勢力４９友好	세력49우호
要請元	요청원
標的施設	표적시설
条件	조건
要請期間	요청기간
連合期間	연합기간
旗番号	깃발번호
本拠都市番号	본거도시번호
本拠	본거
皇帝判定	황제판정
ユーザー担当判定	유저담당판정
色付き国号	색국호
色付き官爵	색관작
色付き君主	색군주
