movie	card	start_s	end_s	ja	ko
EVENT00	0	1.27	7.00	董卓の暴政により、漢の命運は尽きようとしていた。	동탁의 폭정으로 한나라의 명운은 다하려 하고 있었다.
EVENT00	1	7.07	10.23	心ある臣は国を憂いたが、	뜻있는 신하들은 나라를 걱정했으나
EVENT00	2	10.30	15.87	天下無双の武人・呂布を擁する董卓には、手も足も出ない。	천하무쌍의 무인 여포를 거느린 동탁 앞에서는 어찌해 볼 도리가 없었다.
EVENT00	3	15.70	24.70	重臣中の重臣・王允でさえ、自らの非力を呪うしかなかった……。	중신 중의 중신인 왕윤조차 자신의 무력함을 한탄할 수밖에 없었다…….
EVENT00	4	22.23	28.73	だが、池にたたずむ養女・貂蝉を見た瞬間、	그러나 연못가에 서 있는 양녀 초선을 본 순간,
EVENT00	5	28.80	32.73	王允に1つの計が閃く。	왕윤의 머릿속에 한 가지 계책이 떠오른다.
EVENT00	6	32.80	39.63	秘策をうち明ける王允、曇りのない眼差しで微笑む貂蝉。	비책을 털어놓는 왕윤, 맑은 눈빛으로 미소 짓는 초선.
EVENT00	7	39.70	48.63	国の命運を賭けた戦いは、貂蝉という1人の女性に託された。	나라의 명운을 건 싸움은 초선이라는 한 여인에게 맡겨졌다.
EVENT01	0	2.23	10.40	王允は貂蝉を呂布に目合わせた。一目で恋に落ちる呂布。	왕윤은 초선을 여포와 만나게 했다. 한눈에 사랑에 빠지는 여포.
EVENT01	1	10.50	15.47	だが間もなく、貂蝉は董卓に連れ去られる。	그러나 얼마 뒤, 초선은 동탁에게 끌려간다.
EVENT01	2	15.20	22.17	貂蝉を奪われた呂布は激怒し、董卓との間に亀裂が走った。	초선을 빼앗긴 여포는 격노하고, 동탁과의 사이에 금이 갔다.
EVENT01	3	22.23	28.37	王允が呂布に秘策を持ちかけたのは、そんな時だった。	왕윤이 여포에게 비책을 꺼낸 것은 바로 그때였다.
EVENT01	4	30.67	37.20	王允は禅譲を口実に、董卓を宮殿へ招く。	왕윤은 선양을 구실로 동탁을 궁전으로 불러들인다.
EVENT01	5	37.27	44.13	意気揚々と参内する董卓。その前に立ちふさがる呂布。	의기양양하게 입궐하는 동탁. 그 앞을 가로막는 여포.
EVENT01	6	48.30	55.00	国を陥れた怪物は、たった1人の女性によって倒れた。	나라를 위태롭게 한 괴물은 단 한 여인에 의해 쓰러졌다.
EVENT01	7	55.07	59.70	世に言う「連環の計」である。	이것이 이른바 「연환계」다.
EVENT02	0	1.37	7.07	漢の再興を志す劉備は、雌伏の時を余儀なくされていた。	한실 부흥을 꿈꾸는 유비는 뜻을 펴지 못한 채 때를 기다려야 했다.
EVENT02	1	7.13	13.20	その陣容に、天下の秘策を巡らす「軍師」を欠いていたのである。	그의 진영에는 천하를 도모할 계책을 세울 「군사」가 없었던 것이다.
EVENT02	2	13.27	19.10	ある日、劉備は隆中に住む「伏竜」の噂を聞く。	어느 날, 유비는 융중에 사는 「복룡」의 소문을 듣는다.
EVENT02	3	19.17	23.30	名は諸葛亮、字は孔明。	이름은 제갈량, 자는 공명.
EVENT02	4	23.37	28.57	「伏竜を得る者、天下を制す」と謳われる逸材である。	「복룡을 얻는 자, 천하를 제패한다」고 일컬어지는 인재다.
EVENT02	5	28.63	36.13	劉備は早速、隆中の草庵を訪ねたが、諸葛亮は不在だった。	유비는 곧바로 융중의 초가를 찾아갔으나 제갈량은 집에 없었다.
EVENT02	6	36.23	40.43	そして、雪を押しての二度目の訪問。	그리고 눈길을 무릅쓴 두 번째 방문.
EVENT02	7	40.47	44.13	またしても彼には会えなかった。	이번에도 그를 만나지 못했다.
EVENT02	8	44.17	50.40	劉備は自らの想いを手紙に残し、次の機会が来るのを待った……。	유비는 자신의 마음을 편지에 남기고 다음 기회가 오기를 기다렸다…….
EVENT03	0	1.40	7.57	諸葛亮在宅の噂を聞いた劉備は、三度草庵を訪れる。	제갈량이 집에 있다는 소문을 들은 유비는 세 번째로 초가를 찾아간다.
EVENT03	1	7.63	12.33	そして、ようやく諸葛亮との対面を果たす。	그리고 마침내 제갈량과 마주한다.
EVENT03	2	12.40	16.87	切々と、自らの心情を訴える劉備。	간절하게 자신의 심정을 호소하는 유비.
EVENT03	3	15.70	24.00	その天下を想う言葉は何よりも強く、眠れる竜の心に響いた。	천하를 생각하는 그 말은 무엇보다 강하게 잠든 용의 마음을 울렸다.
EVENT03	4	24.07	31.03	諸葛亮もまた、天下を救う君子の到来を待ち望んでいたのである。	제갈량 또한 천하를 구할 군자가 오기를 기다리고 있었던 것이다.
