offset	ja	ko
0x352A90	数値入力	수치입력
0x352AA0	最小	최소
0x352AA8	最大	최대
0x352AB0	決定	결정
0x352AC0	数値を入力してください	수치를 입력하십시오
0x352AD8	ヘルプ	도움말
0x352AE0	用語辞典へ	용어사전
0x352AF0	情報一覧	정보목록
0x352B00	情報	정보
0x352B08	地図	지도
0x352B10	進行	진행
0x352B18	上旬	상순
0x352B20	中旬	중순
0x352B28	下旬	하순
0x352B30	セーブ	세이브
0x352B38	ロード	로드
0x352B40	都市情報	도시정보
0x352B50	都市武将	도시무장
0x352B60	部隊情報	부대정보
0x352B70	部隊武将	부대무장
0x352B80	勢力情報	세력정보
0x352B90	勢力武将	세력무장
0x352BA0	軍団情報	군단정보
0x352BB0	軍団武将	군단무장
0x352BC0	全武将	전무장
0x352BC8	全都市	전도시
0x352BD0	全勢力	전세력
0x352BD8	全部隊	전부대
0x352BE0	全軍団	전군단
0x352BE8	全アイテム	전아이템
0x352BF8	用語辞典	용어사전
0x352C08	環境設定	환경설정
0x352C18	ゲーム終了	게임 종료
0x352C28	ﾀｲﾄﾙ画面	타이틀
0x352C38	軍事	군사
0x352C40	人材	인재
0x352C48	計略	계략
0x352C50	外交	외교
0x352C58	任免	임면
0x352C60	地域情報	지역정보
0x352C70	地域武将	지역무장
0x352C80	全地域	전지역
0x352C88	全官爵	전관작
0x352C90	その他	기타
0x352C98	勢力爵位	세력작위
0x352CA8	勢力兵法	세력병법
0x352CB8	勢力陣形	세력진형
0x352CC8	勢力船	세력배
0x352CD0	クリア条件	클리어조건
0x352CE0	中地図	중지도
0x352CE8	新爵位任命	새작위임명
0x352CF8	相国	상국
0x352D00	大元帥	대원수
0x352D08	西域都護	서역도호
0x352D18	後継者	후계자
0x352D20	残り育成Ｐ %3dＰ	남은 육성P %3dP
0x352D38	アイテム情報	아이템정보
0x352D48	武将情報	무장정보
0x352D58	施設情報	시설정보
0x352D68	閉じる	닫기
0x352D70	武将	무장
0x352D78	部隊	부대
0x352D80	都市	도시
0x352D88	勢力	세력
0x352D90	軍団	군단
0x352D98	経済	경제
0x352DA0	戦力	전력
0x352DA8	内政	내정
0x352DB0	状態	상태
0x352DB8	要請期間	요청기간
0x352DC8	体力	체력
0x352DD0	後漢	후한
0x352DD8	統率経験	통솔경험
0x352DE8	武力経験	무력경험
0x352DF8	知力経験	지력경험
0x352E08	政治経験	정치경험
0x352E18	育成Ｐ	육성P
0x352E20	獲得育成Ｐ	획득육성P
0x352E30	兵法１	병법1
0x352E38	兵法２	병법2
0x352E40	兵法３	병법3
0x352E48	護符	호부
0x352E50	列伝	열전
0x352E58	個人	개인
0x352E60	経験	경험
0x352E70	到着	도착
0x352E78	金支出	금지출
0x352E80	金収入	금수입
0x352E88	予想金	예상금
0x352E90	兵糧支出	병량지출
0x352EA0	兵糧収入	병량수입
0x352EB0	予想兵糧	예상병량
0x352EC0	一覧	목록
0x352EC8	地図	지도
0x352ED0	一覧	목록
0x352ED8	全選択	전체
0x352EE0	全解除	해제
0x352EE8	頁送り	넘기기
0x352EF8	勢力一覧	세력목록
0x352F08	軍団一覧	군단목록
0x352F18	地域一覧	지역목록
0x352F28	都市一覧	도시목록
0x352F38	施設一覧	시설목록
0x352F48	部隊一覧	부대목록
0x352F58	武将一覧	무장목록
0x352F68	アイテム一覧	아이템 목록
0x352F78	兵法一覧	병법목록
0x352F88	陣形一覧	진형목록
0x352F98	国号一覧	국호목록
0x352FA8	官爵一覧	관작목록
0x352FB8	爵位一覧	작위목록
0x352FC8	工作物一覧	공작물목록
0x352FD8	対象一覧	대상목록
0x352FE8	船一覧	배목록
0x352FF0	勢力選択	세력선택
0x353000	軍団選択	군단선택
0x353010	地域選択	지역선택
0x353020	都市選択	도시선택
0x353030	施設選択	시설선택
0x353040	部隊選択	부대선택
0x353050	武将選択	무장선택
0x353060	アイテム選択	아이템 선택
0x353070	兵法選択	병법선택
0x353080	陣形選択	진형선택
0x353090	国号選択	국호선택
0x3530A0	爵位選択	작위선택
0x3530B0	工作物選択	공작물선택
0x3530C0	対象選択	대상선택
0x3530D0	船選択	배선택
0x3530D8	建設地域選択	건설지역선택
0x3530E8	選択数	선택수
0x353118	実行	실행
0x353120	中止	중지
0x353128	解放	해방
0x353130	処断	처단
0x353138	承諾	승낙
0x353140	拒否	거부
0x353148	武将	무장
0x353150	実行武将	실행무장
0x353160	対象武将	대상무장
0x353170	勢力	세력
0x353178	実行勢力	실행세력
0x353188	対象勢力	대상세력
0x353198	標的勢力	표적세력
0x3531A8	回答勢力	회답세력
0x3531B8	都市	도시
0x3531C0	地域	지역
0x3531C8	対象地域	대상지역
0x3531D8	部隊	부대
0x3531E0	対象部隊	대상부대
0x3531F0	施設	시설
0x3531F8	対象施設	대상시설
0x353208	標的施設	표적시설
0x353218	増加兵役	증가병역
0x353228	到着予定	도착예정
0x353238	最高知力	최고지력
0x353248	条件	조건
0x353250	回答	회답
0x353258	無条件	무조건
0x353260	現役軍師	현역군사
0x353270	配置	배치
0x353278	特徴	특징
0x353280	陣形	진형
0x353290	兵法発動率：前に布陣するほど高い⏎狙撃対象　：前列・中列は狙撃される可能性有り⏎一騎討ち　：前列同士で発生	병법발동률：앞에 배치할수록 높음⏎저격대상　：전열・중열은 저격당할 수 있음⏎일기토　　：전열끼리 발생
0x353300	船	배
